,timestamp,mission_id,idpu_type,idpu_time,numerator,denominator,data
21,2020-09-26 02:11:44.000000,2.0,2.0,2020-09-24 00:38:41.619705,21.0,2988.0,"b""\t \x00$A8\xa5\x9eM\xb7\xa2b\xb7\x1c\xb5u;\x1b\x02-$\r\x05\xe0\x97\xd9n\x00\xdf\xfb\xd7\x93?-\x1b\xe2\xf7vr\x1c\xc6}\xb3\x0f\x05o\xa5\x9b\x81\xf6|g'\xfc\x19\xaa\xc6\x92?\xb3\xcf\x03F\xf0\xde\x02\xcb%\xf1ZG\x11a\xf7\x93\xe9\xceJ+\xf6}\x00"""
22,2020-09-26 02:11:44.000000,2.0,2.0,2020-09-24 00:38:42.619705,22.0,2988.0,b'\t \x00$B8\xa5\x9e\xd7\xc4]%\x8bg6j\x1bdG\x0b\xc3\x80\x9b\xfd{\x00\xb4\x97\xfd\x92\xf7j\xe4\x12\xd2X\x06C7\xb6O\x04\xd8y{\x9cW\x87E\xe4=\xaa\xb9\x8d!\xeco\x00e\x97\xc4i\x82\r\x80Rn\xc5g\xc1\xeb\xea\x7f\xa1d\xa0#\xf7\xdb8\xf1'
23,2020-10-09 18:59:12.638949,2.0,2.0,2020-09-24 00:38:43.619705,23.0,2988.0,"b""\t \x00$C8\xa5\x9e\xc2\x17=\x14\rV\xaei\n77\x13\x1e\x97\x18\xb6\x90\xc2i}\x12/I\xc9~\x89\xc8\x00\x187'7\xd2m\xf8~{\x1e>\xca\xcf\x81\xb8\x81\xfe\x0f\x93\xbd\x91&|\xf4\x95T\x92\xb8s%\xcf\x04I<K\xd4\xa5\x91\xe22\x87[\x17\nV\xc0"""
24,2020-10-09 18:59:12.749867,2.0,2.0,2020-09-24 00:38:44.619705,24.0,2988.0,b'\t \x00$D8\xa5\x9eN\x18R`\xf9g\xce\xf2y[\xe1V\x935\x0b\xfe\x13\xfb\xd6\x92\x98\x92M\xe4\xc4\x8f%\xa6\\.yc\xbe\x06\x81\xc2\x7f\xf4\xd9\x1f\xe3I\x1e\x17?\xdf\x1e\x87y\xe6n\xf2\xc8\x92\xf2\xf2}A\xdf\xdf\xe4\xf2a\xc6J\xef\xc4\x96K\xde\xef\xef~M\xe2\xfc\xdc\xc0'
25,2020-10-09 18:59:12.950207,2.0,2.0,2020-09-24 00:38:45.619705,25.0,2988.0,"b""\t \x00$E8\xa5\x9e\xb4\xf8k\x11\xcd';\xbb/^\x82\xad&\x00d\xff\xdc\xb7\x7f\xad\xdf\x8c\x9e^\xc6\xb3\xc3O\xa53\xa2\xd2\x1eW\xe7\xb7J\xea<\x95\xf4\xbb\xf1\x92\xc9{\x96\x7f\xf5\xff\xed\xac\xf8O\xfd\x06\x91\xfa\xc0\xd8No\xa5\x92\xfc6C\xc8\xf3}\x1aO\xfa0\xfa"""
26,2020-10-09 18:59:13.152493,2.0,2.0,2020-09-24 00:38:46.619705,26.0,2988.0,"b'\t \x00$F8\xa5\x9e\xe5\xe2\x92#\xeb\x16\xa5mM8p""\x7f\xef\xc7\xa8\xd1\xfe<A\x84\x99\xd8\xf9?\xc1\xeb\xf0\xad\xbc;>\x95~\x9d\xbb\xf8\x8d\xc2I\x1e*\x92\xf7\x12&\xc6\x12Y\xf4q\x11\xd8\x01n\x04\t?\x92\xd2_E\xa4\xde\xa2\xbd\xac\xe4\xff\xebI\xcc\x894\x95\xc8'"
27,2020-10-09 18:59:13.258884,2.0,2.0,2020-09-24 00:38:47.619705,27.0,2988.0,b'\t \x00$G8\xa5\x9eCy\x9a]\xbcq\xedps~G\x9a\xd1\x8cIe\xf4g&\xfc\x19\xba\n>\xb2\xf7\x98\xd2\x9e\x13\x93\xbe\x19\xfdF\x92\x06\xb2\xc9\x9d\x18\x93\xfb\r&\xebf\xbe\xf4\xf4\x9c\x97\xa7\xf9M\x16O\x99\xd9$\x97\xf0RG\xc5I\xfa\xd8\x92;-\x0fl\xe4\xfe\xed\x98\x0b.m'
28,2020-09-26 02:11:45.000000,2.0,2.0,2020-09-24 00:38:48.619705,28.0,2988.0,b'\t \x00$H8\xa5\x9e\xb7\xf7\xa8\x14\\\xf1\x04\x9fl\x7f\x9f_\x9f\xdb\x0f\xee\xbb\xfc/\x1f\n\x93\xf9\xad\x9e\x96\x92\xfe:G\x98\xf2\xbf\x0f^\xde\x9f\x80\xd2\x7f\x91\xa4@?\xcfD\xf3\xf8\xd2?Y\xca\xde^\xf4\x1eG\xda\xd2\x00Id\xcdG\xc9\x9d_\xfc\xbd\xbb\x90\xde\xf0\x91.'
29,2020-09-26 02:11:45.000000,2.0,2.0,2020-09-24 00:38:49.619705,29.0,2988.0,"b'\t \x00$I8\xa5\x9e\xf9P\x97/\xab\x9d\xa1e\xcb\'\xbf\t\xc9~\x0f\x92\x13\xad$~\x1aK\x00K\xfc\x84\xb2\xb7\x18\xfbY\xbey\xca\xbat\x97\x8d_\x00K6\x92r{\xd5\xe4\x81\xcbI\xbeVH\x04\xb2\xb5\xb6\xbd-$\xf48\xf5\x1a?\x16\x92\x9d\x19\xdd\xd9d\xbc\xeb!""O\xbc@'"
30,2020-09-26 02:11:45.000000,2.0,2.0,2020-09-24 00:38:50.619705,30.0,2988.0,"b""\t \x00$P8\xa5\x9e.\xec*^}f\n\xce\x89bM\xf028'\xdf\xc5\x8f\x81\xa4\xd9\xacw\xcb,\x9b\xb9\x80\xe8\x0f^N\xe3\\\x9b\x0e\xf3J\xec\xad\xe2\xc3\xff\x9f,#'\xee5&\xc3\xd0\x08\xd2\x80\r&}\xe4If\x1f\x93~\xb3_\xae\x97\xddx\x80ZK\xf8\xc9\xa5n"""
